Name,Gal. Coord.,RA,DEC,Size,Statut
Ra 6,,20:00:59.00,+47:34:11.00,0.3 min d'arc,Nouvelle candidate
StDr 164,,20:01:13.70,+25:19:34.93,3.1 min d'arc,NP Probable
StDr 122,,20:01:25.18,+18:01:59.70,15 min d'arc,Nouvelle candidate
StDrBl 1,,20:01:25.43,+17:51:24.60,1.6 min d'arc,NP Probable
StDr 93,,20:02:51.14,+23:48:09.72,0.83 min d'arc,Nouvelle candidate
Ra 40,,20:02:51.60,+39:15:31.50,0.3 min d'arc,Nouvelle candidate
StDr 123,,20:03:24.26,+26:13:42.00,6 min d'arc,Nouvelle candidate
LDû 23,,20:03:48.86,+47:44:01.50,0.3 min d'arc,Nouvelle candidate
Ou 6,,20:03:53.54,+35:22:50.40,0.2 min d'arc,Vraie NP
MoMi 6,,20:04:10.07,+35:36:13.53,1.8 min d'arc,Nouvelle candidate
Ra 29,,20:05:22.00,+11:53:36.00,0.4 min d'arc,Nouvelle candidate
Ra 20,,20:05:48.00,+03:19:38.00,0.2 min d'arc,Nouvelle candidate
StDr Objet 15,,20:07:48.87,+41:39:31.21,1.2 min d'arc,Nouvelle candidate
StDr 6,,20:07:58.58,+38:02:10.51,0.1 min d'arc,Vraie NP
Mo Objet 6,,20:08:22.4,+09:58:54.30,0.1 min d'arc,Nouvelle candidate
Dr 24,,20:08:33.85,+19:01:24.88,6.4 min d'arc,NP Probable
Mul Objet 5,,20:08:38.47,+41:00:40.78,0.1 min d'arc,Possible proto NP
StDr Objet 28,,20:09:08.50,+29:32:07.10,1.4 min d'arc,Nouvelle candidate
Mul-IR 93,,20:09:27.21,+27:19:47.90,min d'arc,
StDr 42,,20:09:27.67,+25:59:38.30,1.4 min d'arc,Vraie NP
StDr 139,,20:10:09.92,+46:43:18.98,2.7 x 2.4 min d'arc,Vraie NP
Mul 4,,20:10:17.90,+36:13:09.00,0.1 min d'arc,Possible NP
LDû Objet 7,,20:11:00.00,+01:40:57.00,0.5 min d'arc,Nouvelle candidate
Mul-IR 83,,20:11:46.20,+37:00:43.00,min d'arc,
Mul-IR 84,,20:13:14.30,+37:05:37.00,min d'arc,
Mul-IR 73,,20:13:17.00,+37:06:02.20,min d'arc,
Mul-IR 18,,20:13:41.34,+32:45:54.50,min d'arc,
Mul-IR 70,,20:13:51.00,+37:16:21.00,min d'arc,
Ra 37,,20:16:03.00,+31:58:45.00,1.7 min d'arc,Nouvelle candidate
KanPre 1,,20:16:41.00,+06:18:47.00,3 min d'arc,Nouvelle candidate
Cop 8,,20:17:56.60,+33:57:18.38,0.2 min d'arc,Nouvelle candidate
Ras Objet 1,,20:18:09.47,+25:37:05.30,5.4 x 4.0 min d'arc,Nouvelle candidate
Mul 7,,20:20:25.28,+14:46:50.90,0.2 min d'arc,Nouvelle candidate
StDr 11,,20:20:50.30,+29:49:51.10,1.4 min d'arc,Vraie NP
StDr 159,,20:21:41.34,+50:18:30.51,1.8 min d'arc,Vraie NP
Mul-IR 85,,20:23:19.20,+37:58:52.00,min d'arc,
LDû 2,,20:24:50.63,+46:22:24.40,20.1 x 11.7 min d'arc,ISM ionisé
Cop 7,,20:25:28.92,+31:43:07.90,0.2 min d'arc,Nouvelle candidate
LDû 27,,20:27:02.79,-00:17:32.00,1 min d'arc,Nouvelle candidate
Ra 27,,20:27:23.00,+24:48:25.00,0.3 min d'arc,Nouvelle candidate
Pre 1,,20:27:35.50,+10:28:10.40,0.2 x 0. 3 min d'arc,Nouvelle candidate
Ra 63,,20:27:52.15,+24:36:18.00,0.5 min d'arc,Nouvelle candidate
Dr 20,,20:27:59.68,-30:56:02.20,5.3 min d'arc,Nouvelle candidate
StDr 5,,20:28:54.25,+30:44:07.00,1.4 min d'arc,Nouvelle candidate
Hu 9,,20:29:35.09,+33:07:31.70,18 min d'arc,Nouvelle candidate
Ra 9,,20:31:09.00,+21:21:41.00,1.5 min d'arc,Nouvelle candidate
DoS 4,,20:31:14.95,+00:08:27.81,4.0 x 2.5 min d'arc,Nouvelle candidate
StDr 166,,20:31:54.30,+51:54:08.66,0.3 min d'arc,Vraie NP
Pre 25,,20:31:59.00,+08:58:38.00,12.0 x 7.2 min d'arc,Nouvelle candidate
StDr 161,,20:32:30.34,+51:11:34.44,10 x 5 min d'arc,ISM ionisé
EkGo 2,,20:32:41.55,+51:29:38.16,0.1 min d'arc,Nouvelle candidate
Sot 2,,20:33:13.19,+34:53:23.59,1.4 min d'arc,
EkGo 1,,20:33:22.73,+51:22:02.37,2.5 x 2 min d'arc,Possible NP
StDr Objet 2,,20:33:31.14,+44:08:45.39,0.6 min d'arc,Possible NP
Mul-IR 19,,20:34:26.00,+31:18:33.00,0.2 min d'arc,Vraie NP
LDû 26,,20:35:22.79,+00:12:52.00,0.7 min d'arc,Nouvelle candidate
Ra 67,,20:36:07.20,+46:01:53.00,0.2 min d'arc,Vraie NP
StDr 171,,20:36:48.80,+35:30:04.43,2.2 min d'arc,
Dr 25,,20:36:51.53,+58:27:57.33,2.6 min d'arc,Possible NP
StDr 172,,20:37:57.62,+34:37:27.42,3 min d'arc,
KnFe 1,,20:38:09.15,+61:55:05.00,0.7 min d'arc,Vraie NP
StDr 27,,20:42:07.58,+38:38:08.78,3 min d'arc,Possible NP
St 11,,20:42:35.45,+83:22:37.20,1.6 min d'arc,Nouvelle candidate
Ra 4,,20:44:13.00,+36:07:38.00,0.3 min d'arc,Vraie NP
Kan 3,,20:44:14.00,+16:30:30.51,0.1 min d'arc,Nouvelle candidate
LDû 21,,20:49:56.55,+37:54:05.80,0.2 min d'arc,Nouvelle candidate
Ra 10,,20:50:13.00,+46:55:18.00,0.8 min d'arc,Vraie NP
Rai 2,,20:50:45.92,+50:12:07.50,0.1 min d'arc,Vraie NP
Zol 1,,20:53:49.60,+46:46:47.00,0.6 min d'arc,Vraie NP
Hu 1,,20:54:14.00,+58:51:20.40,1.5 x 1.5 min d'arc,Objet de nature inconnue
Or 2,,20:54:32.34,+25:10:51.20,0.3 min d'arc,Nouvelle candidate
StDr 143,,20:56:03.57,-31:29:37.93,53 min d'arc,Nouvelle candidate
Su 2,,20:56:13.13,+44:34:39.49,2.1 x 1.0 min d'arc,Nouvelle candidate
Ra 66,,20:57:03.75,+42:06:27.00,0.2 min d'arc,Nouvelle candidate
StDr 146,,20:58:19.21,+50:12:07.19,3 min d'arc,Nouvelle candidate
Pa 180,,21:00:00.22,+54:18:11.05,1 min d'arc,Nouvelle candidate
Ra 5,,21:02:38.00,+44:46:42.00,0.2 min d'arc,Vraie NP
St Objet 2,,21:03:24.04,+58:45:43.60,1.6 x 1.0 min d'arc,Nouvelle candidate
StDr Objet 14,,21:04:40.09,+37:16:42.05,1 min d'arc,Nouvelle candidate
St Objet 4,,21:06:58.54,-03:26:38.00,0.4 x 0.1 min d'arc,Nouvelle candidate
Mul-IR 77,,21:09:36.50,+53:34:04.00,min d'arc,
MoMi 2,,21:10:51.12,+40:17:00.07,8 x 3.6 min d'arc,Objet de nature inconnue
Ou 4,,21:11:48.20,+59:59:12.00,69.4 x 19.8 min d'arc,Matière circumstellaire
LDû Objet 5,,21:13:09.00,+46:22:32.00,2.6 x 2.6 min d'arc,Nouvelle candidate
Ou 5,,21:14:20.00,+43:41:35.00,0.6 x 0.8 min d'arc,Vraie NP
StDr 15,,21:15:06.92,+55:55:52.60,5 x 3.8 min d'arc,Nouvelle candidate
St 9,,21:16:33.04,+58:44:22.30,1.6 x 0.8 min d'arc,Nouvelle candidate
StDr 54,,21:16:36.39,+28:10:19.52,16 min d'arc,Nouvelle candidate
StDr 133,,21:17:40.87,+42:42:35.82,2.8 min d'arc,Nouvelle candidate
Ra 43,,21:17:54.00,+53:09:39.00,0.7 min d'arc,Nouvelle candidate
Mul-IR 78,,21:19:45.10,+49:28:10.00,min d'arc,
StDr 126,,21:21:04.23,+59:01:31.25,3 min d'arc,Nouvelle candidate
StDr 94,,21:22:16.87,+51:13:13.50,2.2 min d'arc,Nouvelle candidate
StDr 95,,21:26:59.81,+50:18:57.30,1.1 min d'arc,Nouvelle candidate
PaStDr 1,,21:28:14.11,+49:41:47.30,5.3 min d'arc,Nouvelle candidate
LDû 28,,21:28:26.76,+54:11:01.60,0.4 min d'arc,Nouvelle candidate
LDû 18,,21:29:52.51,+50:54:19.18,0.4 min d'arc,Vraie NP
App 2,,21:30:45.12,+52:41:48.10,1 x 0.8 min d'arc,Vraie NP
StDr 3,,21:31:59.35,+56:13:15.52,2 x 1 min d'arc,Nouvelle candidate
Hu Objet 1,,21:32:06.30,+63:04:24.00,3.5 x 2.3 min d'arc,Nouvelle candidate
StDr Objet 1,,21:35:07.85,+52:11:32.36,0.5 x 0.3 min d'arc,Vraie NP
LDu-IR 9,,21:35:13.12,+52:18:58.40,min d'arc,
LDû 1,,21:36:06.35,+50:54:04.80,2.2 min d'arc,Vraie NP
St 13,,21:40:00.35,+46:51:17.60,0.4 x 0.3 min d'arc,Nouvelle candidate
StDr 2,,21:40:22.13,+48:21:52.64,0.6 min d'arc,NP Probable
Jo 1,,21:40:32.51,+56:47:55.00,0.2 min d'arc,Vraie NP
StDr 4,,21:41:30.82,+55:47:52.78,3 x 2.3 min d'arc,Candidat rémanent de supernova
StDr 17,,21:42:15.52,+44:28:04.33,15 x 13 min d'arc,Vraie NP
Su Objet 7,,21:43:01.90,+54:56:35.60,0.4 x 0.3 min d'arc,Nouvelle candidate
El 1,,21:45:05.28,+29:59:59.12,2.4 min d'arc,NP Probable
Ra 57,,21:56:40.67,+51:34:59.50,0.1 x 0.3 min d'arc,Nouvelle candidate
Dr 5,,21:57:35.52,+61:51:28.95,0.2 min d'arc,Vraie NP
StDr 12,,22:03:30.65,+61:29:43.39,0.8 min d'arc,Vraie NP
Rai 1,,22:06:08.05,+57:38:22.90,0.3 min d'arc,Vraie NP
St 7,,22:06:55.39,+57:58:22.60,2.4 x 2.4 min d'arc,Nouvelle candidate
St 8,,22:07:59.14,+66:45:13.30,6.3 x 2.7 min d'arc,Candidat rémanent de supernova
Ra Objet 1,,22:09:27.00,+63:24:53.00,1.8 x 0.6 min d'arc,Nouvelle candidate
Ra 50,,22:10:45.27,+56:23:13.10,0.4 x 0.3 min d'arc,Vraie NP
StDr 43,,22:16:18.23,+54:18:42.10,7 min d'arc,Possible NP
StDr 124,,22:27:52.34,+34:39:21.67,33 min d'arc,Nouvelle candidate
Ra 42,,22:30:05.00,+40:15:33.00,1.6 x 1.8 min d'arc,Nouvelle candidate
Fe Objet 1,,22:33:36.80,+65:48:03.00,0.8 x 0.5 min d'arc,Nouvelle candidate
StDr Objet 33,,22:33:53.80,+67:25:01.16,26 x 15 min d'arc,Objet de nature inconnue
St 4,,22:36:35.31,+42:55:45.10,0.1 min d'arc,Nouvelle candidate
StDr 96,,22:37:00.25,+54:02:50.68,1 min d'arc,NP Probable
StDr 53,,22:44:54.68,+55:09:25.60,0.3 min d'arc,NP Probable
Gar Objet 1,,22:46:24.97,+59:09:37.20,2 x 1 min d'arc,Nouvelle candidate
Ra 38,,22:55:58.00,+62:33:25.00,0.1 min d'arc,Nouvelle candidate
Ra 56,,23:01:23.00,+63:26:45.00,0.4 x 0.5 min d'arc,Nouvelle candidate
Pre Objet 1,,23:02:30.00,+59:2:56.00,4.5 x 3.5 min d'arc,Rémanent de supernova
Ra 21,,23:02:57.00,+63:13:07.00,0.3 min d'arc,ISM ionisé
St 12,,23:04:21.23,+40:43:39.40,1.7 x 1.3 min d'arc,Nouvelle candidate
StDr 97,,23:14:18.82,+55:59:33.90,1.08 min d'arc,Possible NP
StDr 98,,23:17:57.63,+55:50:27.03,19.4 min d'arc,Nouvelle candidate
Bic 1,,23:18:51.31,-51:44:53.52,0.2 min d'arc,Nouvelle candidate
DrBl 1,,23:23:36.14,+45:13:03.94,1.3 min d'arc,Nouvelle candidate
Dr 21,,23:23:49.89,+45:16:54.43,7.5 min d'arc,Vraie NP
StDr 99,,23:24:11.06,+65:30:52.40,17 min d'arc,Nouvelle candidate
Dr 30,,23:25:34.37,+52:32:36.69,66 min d'arc,Nouvelle candidate
Dr 35,,23:30:41.11,+55:04:11.82,9.9 x 8.6 min d'arc,Nouvelle candidate
LDû 13,,23:38:40.43,+61:41:40.90,0.9 x 0.7 min d'arc,Vraie NP
Hu Objet 3,,23:50:14.00,+65:39:28.00,2.5 x 1.8 min d'arc,ISM ionisé
Mul Objet 2,,23:59:53.00,+63:57:01.00,min d'arc,Nouvelle candidate
